Module Name,Result
Engineering Mathematics I,A
Engineering Mathematics II,B
Engineering Physics,A-
General Chemistry for Engineers,C
Numerical Methods and Analysis,A+
Probability and Statistics for Engineers,B
Engineering Mechanics: Statics,A
Engineering Mechanics: Dynamics,C
Strength of Materials,B
Materials Science and Engineering,A+
Fluid Mechanics,A-
Thermodynamics,B
Electrical Circuit Theory,A
Digital Logic Design,A+
Signals and Systems,C
Electromagnetic Field Theory,B
Control Systems Engineering,A-
Electronic Devices and Circuits,A
Engineering Drawing and CAD,A+
Computer Programming for Engineers,B
Object-Oriented Programming,A
Embedded Systems,A-
Microprocessor Systems,C
Finite Element Analysis,B
Heat and Mass Transfer,A
Structural Analysis,A+
Engineering Economics and Finance,B
Project Management for Engineers,A-
Professional Ethics and Law,A
Sustainable Engineering and Environment,B
